"member_i","religion_i","member_j","religion_j","similarity"
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
